ResetId	SymbolId	OpType	Duration	Input	Output
2202	0	TimedIO	100471500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2202	1	TimedIO	508400	Alert10	ConnectionClosed
2203	-1	Reset	757100	Reset	Reset
2203	0	TimedIO	100761800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2203	1	TimedIO	100271000	ClientKeyExchange	Empty
2204	-1	Reset	917900	Reset	Reset
2204	0	TimedIO	101057000	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2204	1	TimedIO	420600	ApplicationDataEmpty	Alert2.10ConnectionClosed
2205	-1	Reset	419700	Reset	Reset
2205	0	TimedIO	100468100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2205	1	TimedIO	461700	ApplicationData	Alert2.10ConnectionClosed
2206	-1	Reset	675500	Reset	Reset
2206	0	TimedIO	264200	EmptyCertificate	Alert2.10ConnectionClosed
2206	1	TimedIO	600	ClientKeyExchange	ConnectionClosed
2207	-1	Reset	143700	Reset	Reset
2207	0	TimedIO	230500	EmptyCertificate	Alert2.10ConnectionClosed
2207	1	TimedIO	800	ClientHelloDHE	ConnectionClosed
2208	-1	Reset	126900	Reset	Reset
2208	0	TimedIO	261000	EmptyCertificate	Alert2.10ConnectionClosed
2208	1	TimedIO	400	ApplicationDataEmpty	ConnectionClosed
2209	-1	Reset	130700	Reset	Reset
2209	0	TimedIO	165200	EmptyCertificate	Alert2.10ConnectionClosed
2209	1	TimedIO	600	Finished	ConnectionClosed
2210	-1	Reset	125700	Reset	Reset
2210	0	TimedIO	122200	EmptyCertificate	Alert2.10ConnectionClosed
2210	1	TimedIO	600	ChangeCipherSpec	ConnectionClosed
2211	-1	Reset	126100	Reset	Reset
2211	0	TimedIO	170800	EmptyCertificate	Alert2.10ConnectionClosed
2211	1	TimedIO	600	EmptyCertificate	ConnectionClosed
2212	-1	Reset	139300	Reset	Reset
2212	0	TimedIO	97900	EmptyCertificate	Alert2.10ConnectionClosed
2212	1	TimedIO	400	ApplicationData	ConnectionClosed
2213	-1	Reset	121200	Reset	Reset
2213	0	TimedIO	216000	EmptyCertificate	Alert2.10ConnectionClosed
2213	1	TimedIO	600	ClientHelloRSA	ConnectionClosed
2214	-1	Reset	140900	Reset	Reset
2214	0	TimedIO	190400	EmptyCertificate	Alert2.10ConnectionClosed
2214	1	TimedIO	400	Alert10	ConnectionClosed
2215	-1	Reset	128700	Reset	Reset
2215	0	TimedIO	100305800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2215	1	TimedIO	100257200	ClientKeyExchange	Empty
2215	2	TimedIO	588500	ClientHelloDHE	Alert2.10ConnectionClosed
2216	-1	Reset	696900	Reset	Reset
2216	0	TimedIO	100696800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2216	1	TimedIO	100278200	ClientKeyExchange	Empty
2216	2	TimedIO	591500	ApplicationData	Alert2.10ConnectionClosed
2217	-1	Reset	649500	Reset	Reset
2217	0	TimedIO	100728300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2217	1	TimedIO	100374800	ClientKeyExchange	Empty
2217	2	TimedIO	100397800	ChangeCipherSpec	Empty
2218	-1	Reset	518500	Reset	Reset
2218	0	TimedIO	100602900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2218	1	TimedIO	100603800	ClientKeyExchange	Empty
2218	2	TimedIO	463900	ClientKeyExchange	Alert2.10ConnectionClosed
2219	-1	Reset	404000	Reset	Reset
2219	0	TimedIO	100383500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2219	1	TimedIO	100226300	ClientKeyExchange	Empty
2219	2	TimedIO	734400	ClientHelloRSA	Alert2.10ConnectionClosed
2220	-1	Reset	728700	Reset	Reset
2220	0	TimedIO	100889200	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2220	1	TimedIO	100301900	ClientKeyExchange	Empty
2220	2	TimedIO	479600	EmptyCertificate	Alert2.10ConnectionClosed
2221	-1	Reset	647500	Reset	Reset
2221	0	TimedIO	100539500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2221	1	TimedIO	100235500	ClientKeyExchange	Empty
2221	2	TimedIO	436200	Finished	Alert2.10ConnectionClosed
2222	-1	Reset	614000	Reset	Reset
2222	0	TimedIO	100389500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2222	1	TimedIO	100230400	ClientKeyExchange	Empty
2222	2	TimedIO	747300	Alert10	ConnectionClosed
2223	-1	Reset	832200	Reset	Reset
2223	0	TimedIO	100947500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2223	1	TimedIO	100276300	ClientKeyExchange	Empty
2223	2	TimedIO	745600	ApplicationDataEmpty	Alert2.10ConnectionClosed
2224	-1	Reset	1043400	Reset	Reset
2224	0	TimedIO	100961300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2224	1	TimedIO	100300100	ClientKeyExchange	Empty
2224	2	TimedIO	100373300	ChangeCipherSpec	Empty
2224	3	TimedIO	542800	ChangeCipherSpec	Alert2.10ConnectionClosed
2225	-1	Reset	551800	Reset	Reset
2225	0	TimedIO	100605500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2225	1	TimedIO	100280600	ClientKeyExchange	Empty
2225	2	TimedIO	100281600	ChangeCipherSpec	Empty
2225	3	TimedIO	754700	ApplicationDataEmpty	Alert2.10ConnectionClosed
2226	-1	Reset	749500	Reset	Reset
2226	0	TimedIO	100895300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2226	1	TimedIO	100233300	ClientKeyExchange	Empty
2226	2	TimedIO	100400400	ChangeCipherSpec	Empty
2226	3	TimedIO	658600	ClientHelloRSA	Alert2.10ConnectionClosed
2227	-1	Reset	906100	Reset	Reset
2227	0	TimedIO	101070600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2227	1	TimedIO	100498200	ClientKeyExchange	Empty
2227	2	TimedIO	100532800	ChangeCipherSpec	Empty
2227	3	TimedIO	459500	Alert10	Alert2.10ConnectionClosed
2228	-1	Reset	616400	Reset	Reset
2228	0	TimedIO	100502000	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2228	1	TimedIO	100421700	ClientKeyExchange	Empty
2228	2	TimedIO	100188700	ChangeCipherSpec	Empty
2228	3	TimedIO	819100	EmptyCertificate	Alert2.10ConnectionClosed
2229	-1	Reset	1028100	Reset	Reset
2229	0	TimedIO	100964100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2229	1	TimedIO	100277300	ClientKeyExchange	Empty
2229	2	TimedIO	100324100	ChangeCipherSpec	Empty
2229	3	TimedIO	105188100	Finished	ChangeCipherSpecHandshakeFinished
2230	-1	Reset	883000	Reset	Reset
2230	0	TimedIO	101155500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2230	1	TimedIO	100223300	ClientKeyExchange	Empty
2230	2	TimedIO	100368100	ChangeCipherSpec	Empty
2230	3	TimedIO	633400	ClientKeyExchange	Alert2.10ConnectionClosed
2231	-1	Reset	612000	Reset	Reset
2231	0	TimedIO	100610900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2231	1	TimedIO	100469900	ClientKeyExchange	Empty
2231	2	TimedIO	100394900	ChangeCipherSpec	Empty
2231	3	TimedIO	443600	ApplicationData	Alert2.10ConnectionClosed
2232	-1	Reset	450300	Reset	Reset
2232	0	TimedIO	100463800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2232	1	TimedIO	100465700	ClientKeyExchange	Empty
2232	2	TimedIO	100383200	ChangeCipherSpec	Empty
2232	3	TimedIO	946700	ClientHelloDHE	Alert2.10ConnectionClosed
2233	-1	Reset	807300	Reset	Reset
2233	0	TimedIO	100939900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2233	1	TimedIO	100418000	ClientKeyExchange	Empty
2233	2	TimedIO	100264400	ChangeCipherSpec	Empty
